<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  156    1247    1.020646e-04    0.000e+00    1.507e+00    4.054e-06
  157    1254    9.955597e-05    0.000e+00    1.430e+00    2.532e-05
  158    1261    8.312815e-05    0.000e+00    1.209e+00    1.079e-04
  159    1268    7.367693e-05    0.000e+00    1.525e+00    3.510e-04
  160    1275    4.935949e-05    0.000e+00    9.817e-01    1.218e-04
  161    1282    4.363935e-05    0.000e+00    2.313e-01    1.778e-04
  162    1290    4.242457e-05    0.000e+00    2.266e-01    4.773e-05
  163    1297    3.640574e-05    0.000e+00    1.182e-01    1.849e-04
  164    1304    2.997101e-05    0.000e+00    1.361e-01    4.343e-05
  165    1311    2.899180e-05    0.000e+00    1.636e-01    9.126e-05
  166    1323    2.917785e-05    0.000e+00    1.228e-01    5.495e-05
  167    1330    3.066507e-05    0.000e+00    1.899e-01    3.393e-04
  168    1338    2.992762e-05    0.000e+00    9.738e-02    2.197e-04
  169    1345    2.363917e-05    0.000e+00    2.405e-01    6.417e-04
  170    1358    2.343855e-05    0.000e+00    1.250e-01    3.037e-06
  171    1366    2.341053e-05    0.000e+00    3.113e-02    8.871e-06
  172    1373    2.331902e-05    0.000e+00    1.045e-01    3.059e-05
  173    1383    2.268978e-05    0.000e+00    5.299e-01    1.228e-04
  174    1390    2.103212e-05    0.000e+00    4.213e-01    7.371e-05
  175    1397    2.018458e-05    0.000e+00    8.541e-02    1.291e-04
  176    1404    2.075468e-05    0.000e+00    1.069e-01    9.205e-05
  177    1411    2.089091e-05    0.000e+00    9.546e-02    1.707e-05
  178    1425    2.089994e-05    0.000e+00    3.071e-02    7.349e-07
  179    1432    1.092960e-05    0.000e+00    6.130e-01    1.547e-03
  180    1439    8.046721e-06    0.000e+00    1.163e+00    4.341e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  181    1446    6.834068e-06    0.000e+00    7.003e-01    1.486e-04
  182    1453    5.895462e-06    0.000e+00    3.313e-01    2.172e-04
  183    1461    6.076997e-06    0.000e+00    2.295e-01    8.175e-05
  184    1468    5.786175e-06    0.000e+00    2.174e-01    2.920e-05
  185    1476    4.290365e-06    0.000e+00    5.649e-01    1.609e-04
  186    1483    3.982226e-06    0.000e+00    2.425e-01    2.220e-05
  187    1490    4.126051e-06    0.000e+00    2.384e-01    6.171e-05
  188    1497    3.388335e-06    0.000e+00    1.236e-01    2.793e-05
  189    1504    3.194620e-06    0.000e+00    1.122e-01    3.545e-05
  190    1514    2.507502e-06    0.000e+00    3.056e-01    1.110e-04
  191    1521    2.031300e-06    0.000e+00    2.261e-01    8.441e-05
  192    1528    1.670505e-06    0.000e+00    9.442e-02    1.343e-04
  193    1535    1.666378e-06    0.000e+00    4.796e-02    4.960e-05
  194    1542    1.698011e-06    0.000e+00    6.142e-02    1.371e-05
  195    1557    1.688799e-06    0.000e+00    1.485e-02    1.392e-07
  196    1575    1.688785e-06    0.000e+00    1.485e-02    1.382e-09
  197    1583    1.688756e-06    0.000e+00    1.485e-02    3.746e-09
  198    1599    1.688754e-06    0.000e+00    1.485e-02    1.728e-10

