<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  121     892    5.867851e-03    0.000e+00    2.600e+00    8.006e-04
  122     898    5.863664e-03    0.000e+00    2.663e+00    1.394e-04
  123     904    5.816049e-03    0.000e+00    5.885e+00    3.550e-04
  124     910    5.752581e-03    0.000e+00    1.119e+00    5.619e-04
  125     918    5.313660e-03    0.000e+00    2.560e+00    5.175e-03
  126     924    5.396108e-03    0.000e+00    3.536e+00    4.202e-03
  127     930    5.420600e-03    0.000e+00    4.746e+00    1.820e-03
  128     941    5.420185e-03    0.000e+00    5.638e-01    6.750e-06
  129     947    5.403528e-03    0.000e+00    1.596e+00    1.192e-04
  130     953    5.244193e-03    0.000e+00    6.055e+00    1.034e-03
  131     959    5.351192e-03    0.000e+00    2.896e+00    1.238e-03
  132     975    5.350534e-03    0.000e+00    1.801e+00    3.233e-06
  133     981    5.324984e-03    0.000e+00    8.495e-01    2.450e-05
  134     987    5.241213e-03    0.000e+00    2.434e+00    7.867e-05
  135     993    5.083070e-03    0.000e+00    1.689e+00    2.982e-04
  136    1002    5.068046e-03    0.000e+00    2.512e+00    1.341e-04
  137    1008    5.075403e-03    0.000e+00    2.057e+00    1.357e-04
  138    1014    5.075086e-03    0.000e+00    2.190e+00    3.313e-04
  139    1020    5.053167e-03    0.000e+00    1.646e+00    7.715e-04
  140    1026    4.981891e-03    0.000e+00    1.545e+00    1.197e-04
  141    1032    4.651263e-03    0.000e+00    1.213e+00    3.171e-04
  142    1038    4.600557e-03    0.000e+00    2.252e+00    2.042e-04
  143    1044    4.574986e-03    0.000e+00    1.177e+00    3.859e-05
  144    1051    4.580373e-03    0.000e+00    3.839e+00    2.225e-05
  145    1059    4.597282e-03    0.000e+00    3.113e+00    7.536e-05
  146    1069    4.593578e-03    0.000e+00    3.985e-01    1.036e-05
  147    1082    4.587856e-03    0.000e+00    3.786e+00    5.622e-05
  148    1089    4.580402e-03    0.000e+00    5.031e+00    2.029e-05
  149    1099    4.575327e-03    0.000e+00    4.027e+00    4.287e-06
  150    1109    4.585842e-03    0.000e+00    1.130e+00    5.577e-05

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  151    1116    4.594760e-03    0.000e+00    4.828e-01    4.153e-05
  152    1123    4.606828e-03    0.000e+00    2.974e+00    8.647e-05
  153    1130    4.609715e-03    0.000e+00    1.944e+00    4.318e-05
  154    1136    4.593428e-03    0.000e+00    2.446e+00    3.160e-05
  155    1144    4.588804e-03    0.000e+00    2.316e+00    2.382e-05
  156    1150    4.584870e-03    0.000e+00    1.556e+00    4.173e-05
  157    1156    4.580719e-03    0.000e+00    1.775e+00    1.397e-05
  158    1162    4.577272e-03    0.000e+00    1.416e+00    1.217e-05
  159    1168    4.545934e-03    0.000e+00    6.125e-01    1.237e-04
  160    1175    4.459438e-03    0.000e+00    6.861e-01    4.596e-04
  161    1181    4.452914e-03    0.000e+00    1.190e+00    1.021e-04
  162    1188    4.487724e-03    0.000e+00    1.147e+00    2.975e-04
  163    1194    4.465453e-03    0.000e+00    2.905e+00    7.500e-05
